timestamp;ui32ArduinoTimestamp;f32Value
29574800;1169603636;-1.0000
29599829;1169608392;400.0000
29644743;1169670824;-1.0000
29664743;1169675584;400.0000
29709845;1169738028;-1.0000
29729839;1169742760;400.0000
29779780;1169805228;-1.0000
29799861;1169809940;400.0000
29844950;1169872424;-1.0000
29869908;1169877160;400.0000
29914988;1169939600;-1.0000
29934905;1169944420;400.0000
29979825;1170006768;-1.0000
29999858;1170011532;400.0000
30049875;1170073976;-1.0000
30069729;1170078820;400.0000
30114870;1170141168;-1.0000
30134810;1170145928;400.0000
30179807;1170208372;-1.0000
30204797;1170213108;400.0000
30249860;1170275548;-1.0000
30270005;1170280396;400.0000
30314895;1170342720;-1.0000
30334810;1170347436;400.0000
30384895;1170409932;-1.0000
30404873;1170414728;400.0000
30449875;1170477128;-1.0000
30469891;1170481848;400.0000
30514731;1170544320;-1.0000
30539869;1170549040;400.0000
30584803;1170611500;-1.0000
30604895;1170616252;400.0000
30649944;1170678700;-1.0000
30669829;1170683412;400.0000
30719761;1170745900;-1.0000
30739748;1170750684;400.0000
30774874;1170791820;202.0000
30819900;1170846644;-1.0000
30840051;1170851356;400.0000
30889883;1170913840;-1.0000
30909907;1170918556;400.0000
30954883;1170981048;-1.0000
30974982;1170985768;400.0000
31019842;1171048236;-1.0000
31044919;1171052928;400.0000
31089866;1171115436;-1.0000
31109885;1171120264;400.0000
31139868;1171161448;203.0000
31184853;1171216136;-1.0000
31209990;1171220844;400.0000
31254796;1171283336;-1.0000
31274913;1171288096;400.0000
31319891;1171350504;-1.0000
31339872;1171355196;400.0000
31389828;1171417724;-1.0000
31409764;1171422416;400.0000
31459845;1171484932;-1.0000
31479886;1171489632;400.0000
31524867;1171552128;-1.0000
31559812;1171585788;-1.0000
31579775;1171590524;400.0000
31624877;1171652984;-1.0000
31644796;1171658016;400.0000
31684849;1171698948;202.0000
31724895;1171753696;-1.0000
31759815;1171787360;-1.0000
31779826;1171792100;400.0000
31824871;1171854540;-1.0000
31844885;1171859272;400.0000
31894824;1171921708;-1.0000
31914975;1171926404;400.0000
31959852;1171988916;-1.0000
31979761;1171993668;400.0000
32025092;1172056116;-1.0000
32044865;1172060884;400.0000
32094864;1172123328;-1.0000
32114971;1172128044;400.0000
32159822;1172190500;-1.0000
32179764;1172195256;400.0000
32229901;1172257668;-1.0000
32249962;1172262428;400.0000
32299883;1172324868;-1.0000
